state,avg_price,num_attacks
Puerto Rico,640685.75,248
Virgin Islands,759440.05,0
Massachusetts,724824.71,57
Connecticut,670580.27,17
New Hampshire,481941.0,10
Vermont,444875.06,5
New Jersey,569924.48,47
New York,943796.82,515
South Carolina,387418.71,5
Tennessee,377167.02,24
Rhode Island,481324.21,2
Virginia,468093.68,42
Wyoming,612671.41,2
Maine,333854.8,4
Georgia,390382.86,29
Pennsylvania,331961.16,33
West Virginia,240045.93,2
Delaware,433580.5,3
Louisiana,286650.95,22
Ohio,249042.84,51
California,1029223.7,595
Colorado,832179.28,45
Maryland,456430.52,35
Missouri,288089.5,39
District of Columbia,882849.78,83
Wisconsin,280261.27,37
North Carolina,335128.82,34
Kentucky,270528.87,4
Michigan,269695.43,45
Mississippi,263481.41,11
Florida,548206.79,158
Alabama,303565.74,16
New Brunswick,2500.0,0
Texas,441399.13,63
Arkansas,274221.14,5
Idaho,660400.99,14
Indiana,292582.76,22
Illinois,349957.6,112
New Mexico,323991.71,24
Iowa,251939.47,24
Minnesota,366313.72,25
South Dakota,360786.37,9
Nebraska,298352.66,24
North Dakota,266687.78,6
Montana,792043.24,6
Oklahoma,273217.68,15
Kansas,361726.57,14
Oregon,586858.94,67
Utah,881418.4,20
Nevada,673701.85,18
Washington,658766.49,101
Arizona,485951.36,34
Hawaii,1240095.3,4
Guam,713861.66,0
Alaska,300451.39,1
